Requests,Time
1,111
2,219
3,319
4,519
5,598
6,662
7,744
8,1030
9,1071
10,1264
11,1171
12,1478
13,1421
14,1668
15,2225
16,1730
17,1955
18,2188
19,2194
20,2316
21,2389
22,2509
23,2608
24,2781
25,2795
26,2917
27,4556
28,3945
29,3564
30,4519
31,5350
32,5404
33,5728
34,5063
35,4224
36,4099
37,4038
38,5513
39,5574
40,4682
41,5423
42,4933
43,4884
44,4983
45,5019
46,5103
47,5336
48,5383
49,6842
50,7244
51,5809
52,7675
53,7643
54,8905
55,9164
56,9182
57,6260
58,7270
59,8326
60,7705
61,8084
62,9473
63,9770
64,8484
65,8526
66,8657
67,9794
68,9949
69,9556
70,10287
71,10247
72,9779
73,9246
74,9266
75,8551
76,9383
77,9473
78,10300
79,9094
80,11300
81,12382
82,9410
83,9590
84,11549
85,11668
86,14000
87,12207
88,12557
89,13785
90,11879
91,12461
92,13260
93,12872
94,10859
95,14048
96,14101
97,12647
